order_id,order_date,region,country,customer_segment,sales_channel,category,subcategory,unit_price,quantity,discount_pct,gross_revenue,revenue,cost,profit,profit_margin_pct,customer_rating,delivery_days
ORD-20251000,2025-09-08,Latinoamérica,Perú,Empresas (B2B),Tienda Online,Tecnología,Smartphones 5G,398.27,8,0.15,3186.16,2708.24,2366.76,341.48,12.61,5,4
ORD-20250899,2025-09-09,Norteamérica,Canadá,Consumidor Final (B2C),Distribuidores,Tecnología,Accesorios,586.83,2,0.0,1173.66,1173.66,729.34,444.32,37.86,4,1
ORD-20250162,2025-09-11,Europa,Reino Unido,Empresas (B2B),Tienda Online,Tecnología,Auriculares Inalámbricos,720.98,9,0.15,6488.82,5515.5,4411.01,1104.49,20.03,4,2
ORD-20251009,2025-09-13,Norteamérica,Canadá,Consumidor Final (B2C),Tienda Online,Hogar y Electro,Domótica,256.57,3,0.0,769.71,769.71,494.28,275.43,35.78,3,2
ORD-20251203,2025-09-13,Norteamérica,México,Consumidor Final (B2C),Tienda Online,Tecnología,Accesorios,85.76,1,0.0,85.76,85.76,51.88,33.88,39.51,4,3
ORD-20250218,2025-09-14,Latinoamérica,Perú,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Accesorios y Bolsos,194.75,2,0.0,389.5,389.5,177.81,211.69,54.35,4,1
ORD-20250707,2025-09-15,Latinoamérica,Chile,Consumidor Final (B2C),Venta Directa,Tecnología,Auriculares Inalámbricos,644.75,1,0.0,644.75,644.75,395.58,249.17,38.65,5,5
ORD-20250048,2025-09-15,Europa,Alemania,Consumidor Final (B2C),Tienda Online,Moda y Calzado,Accesorios y Bolsos,206.26,2,0.05,412.52,391.89,154.64,237.25,60.54,5,1
ORD-20251147,2025-09-18,Norteamérica,Estados Unidos,Corporativo,Venta Directa,Tecnología,Laptops & Ultrabooks,1002.55,9,0.15,9022.95,7669.51,6360.95,1308.56,17.06,5,4
ORD-20251473,2025-09-18,Latinoamérica,Perú,Empresas (B2B),Marketplace,Mobiliario y Oficina,Organizadores,430.12,6,0.15,2580.72,2193.61,1693.88,499.73,22.78,4,2
ORD-20251392,2025-09-18,Norteamérica,Estados Unidos,Consumidor Final (B2C),Distribuidores,Hogar y Electro,Domótica,104.74,1,0.05,104.74,99.5,57.65,41.85,42.06,4,2
ORD-20250833,2025-09-19,Asia-Pacífico,Australia,Consumidor Final (B2C),Tienda Online,Hogar y Electro,Domótica,58.59,3,0.1,175.77,158.19,106.58,51.61,32.63,5,5
ORD-20250687,2025-09-19,Europa,Reino Unido,Consumidor Final (B2C),Tienda Online,Mobiliario y Oficina,Organizadores,46.94,3,0.05,140.82,133.78,75.83,57.95,43.32,5,4
